summary,article,emotion_label,predicted_summary
"held at gunpoint at fuel pump, student snatches gun from thief","a student foiled an attempt to loot him on sunday when he was held at gunpoint at a petrol pump near delhi's shahdara. karan chowdhary said the thief asked for his motorbike's keys after which he sought help from people at the petrol pump. when nobody came forward, chowdhary said, ""i fought....alone and snatched the pistol from his hands.""",fear,karan chowdhary says thief asked for his motorbike's keys.
"i have contracted a rare disease, reveals irrfan khan","actor irrfan khan has revealed he has contracted a rare disease while adding, ""sometimes you wake up with a jolt with life shaking you up. the last fifteen days, my life has been a suspense story."" ""i will myself share with you my story within a week ten days, when the further investigations come with a conclusive diagnosis,"" he added.",sadness,irrfan khan reveals he has contracted a rare disease.
cji dipak misra once wrote 192wordsentence in judgement,"the newly appointed chief justice of india, dipak misra, who took the oath on monday, once wrote a 192wordlong sentence in his judgement in a case in 2015. he also uses excerpts from william shakespeare's writings, and other ancient texts while writing judgements. further, he once took the reference of euclid's geometry in a judgement for a case.",neutral,dipak misra took the oath in a case in 2015
virat kohli becomes most expensive player in ipl history,"virat kohli was retained by royal challengers bangalore for â¹17 crore for ipl 2018, making him the most expensive player in ipl history. rohit sharma mumbai indians and ms dhoni chennai super kings were retained for â¹15 crore each, the secondhighest retention amount. australians david warner sunrisers hyderabad and steve smith rajasthan royals were retained for â¹12 crore each.",surprise,virat kohli retained by royal challengers bangalore for â117 crore
"india still not part of nsg, formed after 1974 nuke test","nuclear suppliers group was founded after india conducted its first nuclear test on may 18, 1974. nsg's website says the explosion by a nonnuclearweapon state ""demonstrated that nuclear technology transferred for peaceful purposes could be misused."" the 48nation group which controls trade of nuclear material has blocked india's membership citing it is nonsignatory to nonproliferation treaty.",neutral,"india conducted first nuclear test on may 18, 1974"
"iron, titanium found in atmosphere of hottest known planet","kelt9b, the hottest known planet whose starfacing side reaches temperatures of over 4,000 âºc, has an atmosphere of vaporised iron and titanium, a study has revealed. ""the temperatures are so insane that even though it is a planet it has the atmosphere of a star,"" said the coauthor. kelt9b was discovered last year orbiting a star 650 lightyears from earth.",neutral,"kelt9b is hottest known planet whose starfacing side reaches temperatures of over 4,000 âoc."
hc to hear plea to bury karunanidhi at marina beach at 1030 pm,the madras high court has agreed to hear an urgent plea filed by the dmk at 1030 pm on tuesday over allotting burial space for fivetime cm m karunanidhi near anna memorial at marina beach. the tamil nadu government had denied the dmk's request citing legal issues and allotted 2 acres of land near anna university for karunanidhi's memorial.,sadness,madras high court to hear urgent plea filed by dmk over burial space for karunanidhi.
probrexit leader nigel farage gets 'brexit cake' for b'day,"probrexit leader nigel farage on thursday shared an image of himself with a 'brexit cake' for his birthday. ""happy birthday, mr. brexit!"" it said with one slice decorated with the british flag which was removed and said ""leave."" farage, who is considered the architect of brexit, recently said that the vote for brexit could now be overturned.",neutral,"""happy birthday, mr. brexit!"""
uber suspends driver accused of racism against toddler in uk,"taxihailing startup uber has suspended a driver from using the app while investigating allegations against him for racially abusing a toddler in the uk. this comes after the toddler's mother accused the driver of saying that her mixedrace daughter's father ""must be a slave"". the woman also accused the driver of throwing a set of keys at her daughter's face.",anger,taxihailing startup suspends driver from using app while investigating allegations against him.
n korea wants peace but has security concerns xi to trump,"following his meeting with north korean leader kim jongun on tuesday, chinese president xi jinping told his us counterpart donald trump that north korea wants peace but has security concerns. he further conveyed to trump that jongun wanted to discuss ""phased and synchronous measures"" to help ease tensions over north korea's nuclear program.",sadness,chinese president xi jinping says north korea wants peace but has security concerns.
"munnar resort owner, employee found murdered in kerala","a 40yearold resort owner, jacob varghese, and his 52yearold employee were found murdered near munnar in kerala on sunday. varghese was running the resort on a 40acre cardamom plantation that had been bought by his father. a driver at the resort, who started working around a week ago, is missing and the police are searching for him.",sadness,jacob varghese and 52-year-old employee found murdered near munnar in kerala.
11yearold accuses teacher of war crime for punishing class,"an 11yearold girl from scotland accused her teacher of war crimes and violating the 1949 geneva conventions for unfairly punishing the whole class when one student misbehaved. answering the question, ""things my teachers can do better"" on a feedback form, ava bell wrote, ""not use collective punishment as... under the 1949 genva sic conventions it is a war crime.""",anger,an 11-year-old girl accuses her teacher of war crimes and violating 1949 geneva conventions.
firm delays launch of tobleronelike bar after legal threat,"british chain poundland has been forced to delay the launch of its 'twin peaks' chocolate bar, after receiving a legal letter from mondelez, toblerone's usbased manufacturer. the chocolate bar features two humps rather than the distinctive single peak chunks of the toblerone bar. its packaging features the wrekin hill, rather than the swiss matterhorn, which is on a toblerone.n",fear,poundland forced to delay launch of 'twin peaks' bar.
bill proposes death penalty for sabotaging metros,"the ministry of urban development has proposed a bill that provides for a life sentence or a death penalty for âany act of sabotage with the intent to cause deathâ in metro premises across india. the metro rail bill 2017 further provides a fine of â¹5,000 for drunk commuters and a fouryear jail term for carrying guns inside the metro.",anger,the metro rail bill provides a life sentence or death penalty for sabotage with the intent to cause death.
23 of child marriages in india happen in karnataka govt,"karnataka accounts for 23.2 of child marriages that take place in india, according to the karnataka state commission for protection of child rights. the practice is most prevalent in north karnataka with the majority of cases being reported from kalaburgi and belagavi districts among others. notably, the state had set a fiveyear deadline to end child marriages earlier this year.",neutral,karnataka accounts for 23.2 of child marriages in india
man city end winless run chelsea keeps 7pt lead at the top,"manchester city ended their fourgame winless run with a 31 victory over hull city, while league leaders chelsea kept their sevenpoint advantage intact at the top with a 31 win over bournemouth in the premier league on saturday. eden hazard and marcos alonso were among the scorers for chelsea, while sergio agã¼ero and fabian delph scored for manchester city.",joy,manchester city beat hull city 31 in the premier league on saturday. chelsea keep sevenpoint advantage at top with 31 win over bournemouth
nuclear arsenal a 'treasured sword of justice' kim jongun,"terming the country's nuclear arsenal as a ""treasured sword of justice"", north korean leader kim jongun said the weapons defend the ""sovereignty of the country from the protracted nuclear threats of the us imperialists"". the statement comes after us president donald trump dismissed the idea of talks with north korea, saying ""only one thing will work"" with the reclusive nation.",neutral,"north korea's nuclear arsenal is a ""treasured sword of justice,"" kim jongun says."
female labourer who turned arms supplier arrested in delhi,"the delhi police on saturday arrested a 45yearold woman for supplying illegal weapons and recovered fourteen semiautomatic sophisticated pistols with magazines from her possession. a mother of five children, the accused had started supplying illegal arms after she was unable to meet her basic needs as a farm labourer. she was arrested based on a tipoff before an arms delivery.",anger,delhi police arrest 45-year-old woman for supplying illegal arms.
indian army makes world record as 58 men ride on a bike,"the indian army's motorcycle display team, tornadoes, on sunday created a world record as 58 men mounted a single 500 cc royal enfield and rode it for 1,200 metres. the previous record of 56 men was set in 2013 by the army signal corps daredevils. tornadoes, which was formed in 1982, currently holds 19 world and national records.",joy,"58 men mounted a 500 cc royal enfield and rode it for 1,200 metres. previous record of 56 was set in 2013 by army signal corps daredevils"
"video officer plays dead, dog performs cpr to save him","a video showing a spanish police dog perform cpr to save an officer's life in a mock demonstration has gone viral. the municipal police of madrid shared a video showing the dog named poncho repeatedly jump on the officer's chest and pause to check his pulse. the police praised poncho for not hesitating to ""save the life"" of the agent.",sadness,spanish police dog performs cpr to save officer's life viral
mumbai man attacks woman after his son was arrested for rape,"a mumbai man allegedly attacked a 37yearold woman with a blade on monday after his son was arrested for raping her 13yearold daughter last month. police said the man, who was frustrated over his son's arrest, attacked the woman on her face and neck. the man has been arrested and the woman is undergoing treatment in a hospital.",anger,mumbai man attacked woman with blade after son was arrested for raping 13-year-old daughter.
got season 7 trailer most viewed tv trailer in 24 hrs hbo,"the trailer of the seventh season of the hbo television series game of thrones got became the most viewed television trailer with 61 million views on the internet within 24 hours of its release. the trailer of the series has already crossed over 23 million views on youtube, 43 million views on facebook and four million views on twitter.",surprise,the trailer of the seventh season of game of thrones got the most viewed television trailer within 24 hours.
"i played too many dot balls, concedes kohli after rcb defeat","reacting to royal challengers bangalore's loss to kolkata knight riders in their ipl 2018 opener, rcb captain virat kohli said, ""i played too many dot balls and couldn't get any momentum going"". the indian captain also rued the fact that he and south africa's ab de villiers got dismissed to a parttime spinner off two consecutive deliveries.",sadness,royal challengers bangalore lost to kolkata knight riders in ipl 2018 opener
andhra medical student kills self after ragging by seniors,"a firstyear medical student in andhra pradesh's kurnool allegedly committed suicide by hanging himself from a ceiling in his hostel room on thursday. adding that he often complained about ragging by seniors, the deceased's father said he may have been assaulted since there were injury marks on his body. the college principal, however, refuted allegations of ragging in the college.",anger,kurnool student allegedly committed suicide by hanging himself from ceiling in hostel room.
17yrold pak pacer shaheen afridi takes 5 wkts for 4 runs,"lahore qalandars' 17yearold fast bowler shaheen afridi registered the cheapest fivewicket haul in pakistan super league history by taking five wickets and conceding only four runs against multan sultans on friday. shaheen bowled a triplewicket maiden and a total of 18 dot balls, ending with match figures of 3.4145. shaheen was pakistan's highest wickettaker in the under19 world cup 2018.",neutral,shaheen afridi takes five wickets and concedes only four runs against multan sultans.
snapchat ceo's net worth drops 150 mn after rihanna's post,snapchat's ceo evan spiegel's net worth has dropped nearly 150 million in two days after singer rihanna slammed the platform for running an advertisement mocking domestic violence victims. the post also wiped out 1 billion from snapchat's parent firm snap's market value while shares fell 4.7. the advertisement mocked a physical assault instance between rihanna and her exboyfriend chris brown.,surprise,snapchat ceo evan spiegel's net worth has dropped 150 million in two days.
pm modi's wife jashodaben injured in road accident in rajasthan,"prime minister narendra modi's estranged wife jashodaben on wednesday was injured in a road accident which took place on the kotachittor highway in rajasthan, police officials said. jashodaben, who was on her way to gujarat along with her family, has been taken to a hospital in chittorgarh, police officials added. according to reports, one person has died in the accident.",sadness,"jashodaben is taken to a hospital in chittorgarh, police say."
"delhi vehicles to get blue sticker for petrol, orange for diesel","the supreme court on monday accepted a proposal seeking to issue hologrambased coloured stickers for vehicles in delhi based on the fuel used. while petrol and cng vehicles will need to have a blue sticker, diesel vehicles must carry an orange one. this plan is aimed at better tackling of air pollutionrelated issues in the national capital.",neutral,supreme court proposes to issue hologram-based stickers for vehicles in delhi based on fuel used.
